,Unnamed: 0,issue_num,type,state,Original Text,Processed Text,Full Length,len,aa,begauth,has_code,first_turn,last_turn,created_at,clen,tlen,cloc,tloc,tpos1,tpos2,ppau,npau,Code
0,0,5725,title,closed,docker use openj9 problem,docker use openj9 problem,25,25,3,1,0,1,0,1557494574.0,0.2352941176470588,0.1081081081081081,0.3333333333333333,0.0454545454545454,0.0,1.0,0.0,0.0563965493216452,Social Conversation
1,1,5725,body,closed,"Hi, there'are some old docker images containers use openjkd , not openj9 ,

how should i replace it ?","Hi, there'are some old docker images containers use openjkd , not openj9 ,

how should i replace it ?",103,103,3,1,0,1,0,1557494574.0,1.0,0.4594594594594595,0.6666666666666666,0.0909090909090909,0.0,1.0,0.0,0.0563965493216452,Solution Discussion
2,2,5725,body,closed,"i want to use docker  not like docker file way , is there othere way ?","i want to use docker  not like docker file way , is there othere way ?",70,70,3,1,0,1,0,1557494574.0,0.8823529411764706,0.4054054054054054,1.0,0.1363636363636363,0.0,1.0,0.0,0.0563965493216452,Potential New Issues and Requests
3,3,5725,comment,closed,I am not sure if I understood your question correctly.,I am not sure if I understood your question correctly.,54,54,1,0,0,0,0,1557499026.0,0.3703703703703703,0.2702702702702703,0.3333333333333333,0.1818181818181818,0.044568133584271,0.955431866415729,0.0563965493216452,0.1804258876882735,Solution Discussion
4,4,5725,comment,closed,"If you are asking about replacing openjdk with openj9 in an existing docker image, I don't think it is possible to do.","If you are asking about replacing openjdk with openj9 in an existing docker image, I don't think it is possible to do.",118,118,1,0,0,0,0,1557499026.0,0.8148148148148148,0.5945945945945946,0.6666666666666666,0.2272727272727272,0.044568133584271,0.955431866415729,0.0563965493216452,0.1804258876882735,Solution Discussion
5,5,5725,comment,closed,"But you can always [bind mount](https://docs.docker.com/storage/bind-mounts/) openj9 from the host into docker container, and probably update entry point of the image to use openj9.","But you can always [bind mount](https://docs.docker.com/storage/bind-mounts/) openj9 from the host into docker container, and probably update entry point of the image to use openj9.",181,181,1,0,0,0,0,1557499026.0,1.0,0.7297297297297297,1.0,0.2727272727272727,0.044568133584271,0.955431866415729,0.0563965493216452,0.1804258876882735,Potential New Issues and Requests
6,6,5725,comment,closed,okay!,okay!,5,5,3,1,0,0,0,1557513269.0,0.0416666666666666,0.027027027027027,0.1,0.3181818181818182,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Social Conversation
7,7,5725,comment,closed,Which docker command  should I used?,Which docker command  should I used?,36,36,3,1,0,0,0,1557513269.0,0.2916666666666667,0.1891891891891892,0.2,0.3636363636363636,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Observed Bug Behaviour
8,8,5725,comment,closed,Is there a demo ?,Is there a demo ?,17,17,3,1,0,0,0,1557513269.0,0.1666666666666666,0.1081081081081081,0.3,0.4090909090909091,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Social Conversation
9,9,5725,comment,closed,"发自我的 iPhone

> 在 2019年5月10日，16:37，Ashutosh","发自我的 iPhone

> 在 2019年5月10日，16:37，Ashutosh",42,42,3,1,0,0,0,1557513269.0,0.2083333333333333,0.1351351351351351,0.4,0.4545454545454545,0.1871521242942377,0.8128478757057622,0.1804258876882735,0.0285783053166288,Social Conversation
